nationality,deaths,missing,geographic_context,reference_note
China,298,37,Nepal-side casualty table,Wikipedia casualty table
India,49,189,Nepal-side casualty table,Wikipedia casualty table
Nepal,104,127,Nepal-side casualty table,Wikipedia casualty table
United States,18,65,Nepal-side casualty table,Wikipedia casualty table
Malaysia,3,55,Nepal-side casualty table,Wikipedia casualty table
Ukraine,1,54,Nepal-side casualty table,Wikipedia casualty table
Australia,6,35,Nepal-side casualty table,Wikipedia casualty table
United Kingdom,15,32,Nepal-side casualty table,Wikipedia casualty table
Canada,6,30,Nepal-side casualty table,Wikipedia casualty table
South Korea,0,9,Nepal-side casualty table,Wikipedia casualty table
Singapore,0,9,Nepal-side casualty table,Wikipedia casualty table
Germany,3,8,Nepal-side casualty table,Wikipedia casualty table
Latvia,0,33,Nepal-side casualty table,Wikipedia casualty table
Russia,3,6,Nepal-side casualty table,Wikipedia casualty table
South Africa,4,6,Nepal-side casualty table,Wikipedia casualty table
Japan,0,5,Nepal-side casualty table,Wikipedia casualty table
New Zealand,2,5,Nepal-side casualty table,Wikipedia casualty table
France,2,4,Nepal-side casualty table,Wikipedia casualty table
Belgium,0,2,Nepal-side casualty table,Wikipedia casualty table
Spain,1,2,Nepal-side casualty table,Wikipedia casualty table
Ireland,2,2,Nepal-side casualty table,Wikipedia casualty table
Italy,0,2,Nepal-side casualty table,Wikipedia casualty table
Kazakhstan,1,3,Nepal-side casualty table,Wikipedia casualty table
Portugal,1,2,Nepal-side casualty table,Wikipedia casualty table
Bulgaria,0,1,Nepal-side casualty table,Wikipedia casualty table
Belarus,0,2,Nepal-side casualty table,Wikipedia casualty table
Switzerland,0,1,Nepal-side casualty table,Wikipedia casualty table
Finland,1,1,Nepal-side casualty table,Wikipedia casualty table
Hungary,1,1,Nepal-side casualty table,Wikipedia casualty table
Israel,0,1,Nepal-side casualty table,Wikipedia casualty table
Lithuania,1,1,Nepal-side casualty table,Wikipedia casualty table
Estonia,0,2,Nepal-side casualty table,Wikipedia casualty table
Netherlands,2,0,Nepal-side casualty table,Wikipedia casualty table
Philippines,0,1,Nepal-side casualty table,Wikipedia casualty table
Serbia,0,1,Nepal-side casualty table,Wikipedia casualty table
Sweden,0,1,Nepal-side casualty table,Wikipedia casualty table
Vietnam,0,1,Nepal-side casualty table,Wikipedia casualty table
